timestamp,country,operating_system,Facebook Messenger,iMessage,WhatsApp,Telegram,Slack,Skype,Snapchat,QQ Mobile,Line,WeChat,Viber,GroupMe,SMS,IRC,Google Talk
2016/08/31 4:11:40 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 4:19:09 PM AST,United States,Windows Phone,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 4:23:51 PM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/31 8:39:39 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/31 9:07:19 PM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I don't have it,I have it but rarely use it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
2016/09/01 12:03:39 AM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/09/01 2:05:17 AM AST,United States,iOS,I don't have it,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/30 7:50:11 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it
2016/08/30 8:44:25 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 9:13:18 AM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it
2016/08/30 10:32:12 PM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 3:34:10 PM AST,United States,iOS,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
